3		1		3		50.0
8		1		3		50.0
7		1		7		50.0
9		1		7		50.0
8		2		3		98.2476422201959
10		2		3		51.7523577798041
4		1		4		50.0
11		1		4		50.0
2		1		2		50.0
12		1		2		50.0
3		2		3		51.7523577798041
13		2		3		98.2476422201959
4		2		4		53.50471555960821
14		2		4		96.4952844403918
7		2		7		51.7523577798041
15		2		7		98.2476422201959
9		2		7		100.0
16		2		7		50.0
10		3		3		98.2476422201959
17		3		3		53.50471555960821
1		1		1		50.0
18		1		1		50.0
4		3		4		53.50471555960821
19		3		4		100.0
12		2		2		100.0
20		2		2		50.0
17		4		3		100.0
21		4		3		53.50471555960821
4		4		4		53.50471555960821
22		4		4		100.0
5		1		5		50.0
23		1		5		50.0
7		3		7		51.7523577798041
24		3		7		100.0
17		5		3		100.0
25		5		3		100.0
20		3		2		98.2476422201959
26		3		2		51.7523577798041
1		2		1		51.7523577798041
27		2		1		98.2476422201959
7		4		7		53.50471555960821
28		4		7		98.2476422201959
9		3		7		100.0
29		3		7		100.0
10		4		3		98.2476422201959
30		4		3		100.0
11		2		4		98.2476422201959
31		2		4		51.7523577798041
13		3		3		98.2476422201959
32		3		3		100.0
16		3		7		96.4952844403918
33		3		7		53.50471555960821
21		5		3		100.0
34		5		3		53.50471555960821
5		2		5		51.7523577798041
35		2		5		98.2476422201959
6		1		6		50.0
36		1		6		50.0
9		4		7		100.0
37		4		7		100.0
11		3		4		100.0
38		3		4		98.2476422201959
21		6		3		100.0
39		6		3		100.0
26		4		2		98.2476422201959
40		4		2		53.50471555960821
27		3		1		98.2476422201959
41		3		1		100.0
31		3		4		100.0
42		3		4		51.7523577798041
8		3		3		98.2476422201959
43		3		3		100.0
10		5		3		100.0
44		5		3		98.2476422201959
18		2		1		98.2476422201959
45		2		1		51.7523577798041
20		4		2		100.0
46		4		2		98.2476422201959
21		7		3		100.0
47		7		3		100.0
28		5		7		100.0
48		5		7		98.2476422201959
36		2		6		98.2476422201959
49		2		6		51.7523577798041
2		2		2		51.7523577798041
50		2		2		98.2476422201959
5		3		5		53.50471555960821
51		3		5		98.2476422201959
9		5		7		100.0
52		5		7		100.0
23		2		5		96.4952844403918
53		2		5		53.50471555960821
26		5		2		100.0
54		5		2		98.2476422201959
31		4		4		100.0
55		4		4		100.0
42		4		4		98.2476422201959
56		4		4		53.50471555960821
44		6		3		98.2476422201959
57		6		3		100.0
45		3		1		98.2476422201959
58		3		1		53.50471555960821
4		5		4		53.50471555960821
59		5		4		100.0
8		4		3		100.0
60		4		3		98.2476422201959
11		4		4		100.0
61		4		4		100.0
13		4		3		98.2476422201959
62		4		3		100.0
14		3		4		96.4952844403918
63		3		4		100.0
16		4		7		98.2476422201959
64		4		7		98.2476422201959
27		4		1		98.2476422201959
65		4		1		100.0
31		5		4		100.0
66		5		4		100.0
38		4		4		98.2476422201959
67		4		4		100.0
39		7		3		100.0
68		7		3		100.0
41		4		1		100.0
69		4		1		100.0
46		5		2		98.2476422201959
70		5		2		100.0
50		3		2		100.0
71		3		2		98.2476422201959
53		3		5		100.0
72		3		5		53.50471555960821
1		3		1		51.7523577798041
73		3		1		100.0
2		3		2		51.7523577798041
74		3		2		100.0
6		2		6		51.7523577798041
75		2		6		98.2476422201959
10		6		3		100.0
76		6		3		100.0
12		3		2		100.0
77		3		2		100.0
15		3		7		100.0
78		3		7		98.2476422201959
20		5		2		100.0
79		5		2		100.0
21		8		3		100.0
80		8		3		100.0
25		6		3		100.0
81		6		3		100.0
26		6		2		100.0
82		6		2		100.0
27		5		1		98.2476422201959
83		5		1		100.0
28		6		7		100.0
84		6		7		100.0
29		4		7		100.0
85		4		7		100.0
33		4		7		100.0
86		4		7		53.50471555960821
38		5		4		98.2476422201959
87		5		4		100.0
40		5		2		100.0
